시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.72,1,1,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.51,6,6,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,51.55,9,9,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,52.99,1,1,May-24,Feb-24,준공,
성남시,중원구,하대원동,경기도 성남시 중원구 하대원동 147-5,대우산업개발주식회사,KB부동산신탁㈜,민간,분양,54.12,5,5,May-24,Feb-24,준공,
수원시,권선구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84,39,17,Aug-24,Feb-24,미준공,
수원시,권선구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84,39,27,Aug-24,Feb-24,미준공,
수원시,권선구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84,70,57,Aug-24,Feb-24,미준공,
수원시,팔달구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84,18,16,Aug-24,Feb-24,미준공,
수원시,팔달구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84,18,1,Aug-24,Feb-24,미준공,
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84,25,2,Aug-24,Nov-24,미준공,
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84,51,0,Aug-24,Nov-24,미준공,
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84,24,1,Aug-24,Nov-24,미준공,
수원시,권선구,권선동,경기도 수원시 권선구 권선동 1340,HDC현대산업개발,HDC현대산업개발,민간,분양,84,28,3,Aug-24,Nov-24,미준공,
수원시,팔달구,권선동,경기도 수원시 권선구 오목천동 319-1번지,에스지씨이테크건설,신한자산신탁,민간,분양,84,17,2,Aug-24,Feb-24,미준공,
시흥시,,논곡동,경기도 시흥시 수인로 2365,진흥기업㈜,㈜미산투자개발,민간,분양,56,123,74,Jul-24,Jan-24,준공,
시흥시,,논곡동,경기도 시흥시 수인로 2365,진흥기업㈜,㈜미산투자개발,민간,분양,71,22,12,Jul-24,Jan-24,준공,
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,84,223,194,Jan-24,Nov-24,미준공,
안성시,,죽산면,경기도 안성시 죽산면 790번지,남광토건㈜,한국투자부동산신탁㈜,민간,분양,84,76,68,Jan-24,Nov-24,미준공,
